^ < r i n v a s [ V,SBJV,PRS,1,SG ] DEL(are) > $
^ < r i n v a s a r e [ V,SBJV,PRS,1,SG ] INS(i) > $
^ < i n f i l z [ V,IND,FUT,1,PL ] DEL(a) r e > $
^ < i n f i l z a [ V,IND,FUT,1,PL ] INS(e) r e > $
^ < i n f i l z a r e [ V,IND,FUT,1,PL ] INS(mo) > $
^ < r i v e d e [ V,IND,PST,1,SG,IPFV ] DEL(rsi) > $
^ < r i v e d e r s i [ V,IND,PST,1,SG,IPFV ] INS(vo) > $
^ < i n s a n g u i n a [ V.PTCP,PRS ] DEL(r) e > $
^ < i n s a n g u i n a r [ V.PTCP,PRS ] INS(nt) e > $
^ < t r a m a [ V,POS,IMP,2,PL ] DEL(r) e > $
^ < t r a m a r [ V,POS,IMP,2,PL ] INS(t) e > $
^ < s c a r t a b e l l [ V,POS,IMP,1,PL ] INS(i) a r e > $
^ < s c a r t a b e l l a [ V,POS,IMP,1,PL ] DEL(re) > $
^ < s c a r t a b e l l a r e [ V,POS,IMP,1,PL ] INS(mo) > $
^ < c a l z [ V,IND,FUT,2,PL ] DEL(a) r e > $
^ < c a l z a [ V,IND,FUT,2,PL ] INS(e) r e > $
^ < c a l z a r [ V,IND,FUT,2,PL ] INS(et) e > $
^ < s f i d [ V,POS,IMP,3,SG ] DEL(ars) i > $
^ < [ V,IND,FUT,3,PL ] DEL(recar) v i s i > $
^ < i n t r u f o l a [ V,SBJV,PST,2,SG ] DEL(re) > $
^ < i n t r u f o l a r e [ V,SBJV,PST,2,SG ] INS(ssi) > $
^ < r i n c h i u d e r e [ V,COND,1,SG ] INS(i) > $
^ < i m p i o m b [ V,IND,PRS,2,SG ] DEL(are) > $
^ < i m p i o m b a r e [ V,IND,PRS,2,SG ] INS(i) > $
^ < s c o m b i n [ V,IND,PRS,2,SG ] DEL(are) > $
^ < s c o m b i n a r e [ V,IND,PRS,2,SG ] INS(i) > $
^ < a t t e n d [ V,POS,IMP,3,SG ] DEL(ersi) > $
^ < a t t e n d e r s i [ V,POS,IMP,3,SG ] INS(a) > $
^ < c a z z e g g [ V,COND,1,SG ] DEL(ia) r e > $
^ < c a z z e g g i a [ V,COND,1,SG ] INS(e) r e > $
