^ < n ǟ [ V,ACT,FIN,IND,POS,FUT,PRF,PL,2 ] INS(nõ) d õ > $
^ < n ǟ d [ V,ACT,FIN,IND,POS,FUT,PRF,PL,2 ] DEL(õ) > $
^ < a š š õ [ ADJ,PL,NOM ] INS(d) > $
^ < l i k [ V,ACT,FIN,IND,POS,PRS,SG,3 ] DEL(kõ) > $
^ < l i k k õ [ V,ACT,FIN,IND,POS,PRS,SG,3 ] INS(ūb) > $
^ < e ž m i [ ADJ,PL,IN+ESS ] INS(žis) > $
^ < s [ N,PL,IN+ALL ] DEL(uoŗ) m > $
^ < s u o ŗ [ N,PL,IN+ALL ] INS(ūor) m > $
^ < s u o ŗ m [ N,PL,IN+ALL ] INS(iž) > $
^ < k ō d õ k s m õ [ ADJ,PL,IN+ESS ] DEL(z) > $
^ < k ō d õ k s m õ z [ ADJ,PL,IN+ESS ] INS(ndis) > $
^ < l i k k [ V,ACT,FIN,COND,POS,PRS,PL,1 ] INS(õksm) õ > $
^ < b l ē ḑ [ ADJ,PL,NOM ] INS(õd) > $
^ < v ī ț s õ n ā [ N,SG,INS ] INS(ks) > $
^ < ī d õ k s s a d ā [ ADJ,PL,GEN ] DEL(z) > $
^ < ī d õ k s s a d ā z [ ADJ,PL,GEN ] INS(ndõd) > $
^ < k ō d õ k s t u o i s t õ n [ ADJ,PL,GEN ] DEL(z) > $
^ < k ō d õ k s t u o i s t õ n z [ ADJ,PL,GEN ] INS(dõd) > $
^ < m ǟ d l õ [ V,ACT,FIN,DEB,POS,PRS,SG,3 ] INS(mõst) > $
^ < s ē m ḑ [ N,PL,IN+ALL ] DEL(a) > $
^ < s ē m ḑ a [ N,PL,IN+ALL ] INS(iž) > $
^ < t ī e m i z s õ [ N,PL,IN+ALL ] DEL(nā) > $
^ < t ī e m i z s õ n ā [ N,PL,IN+ALL ] INS(ņži) > $
^ < t u o i s t õ n [ ADJ,PL,INS ] DEL(z) > $
^ < t u o i s t õ n z [ ADJ,PL,INS ] INS(dõdõks) > $
^ < n ǟ [ V,ACT,FIN,IND,NEG,PRS,SG,2 ] DEL(dõ) > $
^ < b ō r [ N,PL,DAT ] INS(õdõn) > $
^ < v ī d s a d ā [ ADJ,SG,IN+ESS ] DEL(z) > $
^ < v ī d s a d ā z [ ADJ,SG,IN+ESS ] INS(ndõs) > $
^ < n [ V,ACT,FIN,QUOT,POS,PRS,SG,1 ] DEL(ǟdõ) > $
^ < n ǟ d õ [ V,ACT,FIN,QUOT,POS,PRS,SG,1 ] INS(ēji) > $
^ < j ō ņ p ǟ v a   k ū [ N,PL,PRT ] INS(ḑi) > $
^ < ā i g a [ N,PL,IN+ABL ] INS(sti) s t > $
